_id,OBJECTID,ID,ADDRESSNUMBERTEXT,ADDRESSSTREET,FRONTINGSTREET,SIDE,FROMSTREET,DIRECTION,SITEID,WARD,BIA,ASSETTYPE,STATUS,BARCODE,SDE_STATE_ID,X,Y,LONGITUDE,LATITUDE,geometry
73506,1081,PO-00531,3351,Lawrence Ave E,Lawrence Ave E,South,Bellamy Rd N,East,8627.0,24,,PPC,Existing,M3808627,0,326144.38399999996,4846445.998,-79.23493103,43.757664844,"{u'type': u'Point', u'coordinates': (-79.23493103, 43.7576648461)}"
73507,1082,PO-00569,3083,Yonge St,Yonge St,East,Lawrence Ave E,South,12779.0,15,,PPC,Existing,M2512779,0,312694.19800000003,4842774.964,-79.402017978,43.724886438999995,"{u'type': u'Point', u'coordinates': (-79.4020179772, 43.7248864391)}"
73508,1083,PO-00612,790,Queen St W,Queen St W,North,Massey St,West,13391.0,10,West Queen West,PPC,Existing,M1913391,0,311780.232,4833937.169,-79.413476439,43.645343991000004,"{u'type': u'Point', u'coordinates': (-79.4134764354, 43.6453439908)}"
73509,1084,PO-00647,,,Queens Quay W,North,Lower Spadina Ave,West,13480.0,10,The Waterfront,PPC,Existing,M2013480,0,313455.48,4833078.368,-79.392724667,43.637596013,"{u'type': u'Point', u'coordinates': (-79.392724663, 43.6375960112)}"
73510,1085,PO-00455,3060,Yonge St,Lawrence Ave W,North,Yonge St,West,8331.0,8,Yonge Lawrence Village,PPC,Temporarily Removed,M1608331,0,312645.15,4842798.506,-79.402626416,43.725098863999996,"{u'type': u'Point', u'coordinates': (-79.4026264121, 43.7250988663)}"
73511,1088,PO-00371,3550,Ellesmere Rd,Ellesmere Rd,North,Morrish Rd,West,8295.0,25,,PPC,Existing,M4408295,0,330956.851,4850044.295,-79.17499206800001,43.789898965,"{u'type': u'Point', u'coordinates': (-79.1749920675, 43.7898989697)}"
73512,1090,PO-00772,,,Warden Ave,West,Steeles Ave E,South,13678.0,22,,PPC,Existing,M3913678,0,318913.206,4853259.919,-79.324552848,43.819170618,"{u'type': u'Point', u'coordinates': (-79.3245528505, 43.8191706177)}"
73513,1091,PO-01156,80,Workman Way,Queen St W,South,Workman Way,East,14924.0,10,West Queen West,PPC,Existing,M1014924,0,311475.411,4833834.156,-79.417256119,43.644419529,"{u'type': u'Point', u'coordinates': (-79.4172561172, 43.644419531)}"
73514,1092,PO-00424,1301,Steeles Ave W,Steeles Ave W,South,Torresdale Ave,West,8266.0,6,,PPC,Existing,M1008266,0,308553.091,4850076.723,-79.453365961,43.79064345,"{u'type': u'Point', u'coordinates': (-79.4533659549, 43.790643452)}"
73515,1094,PO-00074,441,Queen St W,Spadina Ave,East,Queen St W,South,6047.0,10,Queen Street West,PPC,Existing,M2006047,0,313186.006,4834295.952,-79.396045606,43.648559005,"{u'type': u'Point', u'coordinates': (-79.3960456005, 43.648559006)}"
73516,1095,PO-00030,203,Adelaide St W,Adelaide St W,South,Simcoe St,West,7312.0,10,Toronto Entertainment District,PPC,Existing,M2007312,0,313922.145,4834289.976,-79.386920412,43.648496553,"{u'type': u'Point', u'coordinates': (-79.3869204103, 43.6484965515)}"
73517,1096,PO-00789,25,Stanley Rd,Stanley Rd,South,San Carmeloway,West,13834.0,7,,PPC,Existing,M0713834,0,303518.089,4844738.802,-79.515915645,43.74260428,"{u'type': u'Point', u'coordinates': (-79.5159156474, 43.7426042833)}"
73518,1097,PO-00537,31,Twenty First St,Twenty First St,East,Lake Shore Blvd W,North,8633.0,3,,PPC,Existing,M0608633,0,303169.958,4828634.397,-79.520189235,43.597642543,"{u'type': u'Point', u'coordinates': (-79.5201892406, 43.5976425433)}"
73519,1098,PO-00070,100,Queen's Park,Queen's Park,West,Charles St W,Opposite,6090.0,11,,PPC,Existing,M2006090,0,313351.21,4836437.701,-79.393963791,43.667835716999996,"{u'type': u'Point', u'coordinates': (-79.3939637859, 43.6678357224)}"
73520,1099,PO-00589,346,Lansdowne Ave,Lansdowne Ave,West,Whytock Ave,South,13087.0,9,,PPC,Existing,M1813087,0,309552.342,4834851.079,-79.441084215,43.65358799,"{u'type': u'Point', u'coordinates': (-79.4410842193, 43.6535879881)}"
73521,1100,PO-00768,1001,Sandhurst Crcl,Sandhurst Crcl,West,Finch Ave E,North,13674.0,23,,PPC,Existing,M4113674,0,323868.175,4852148.783,-79.262995575,43.809058093000004,"{u'type': u'Point', u'coordinates': (-79.2629955747, 43.8090580955)}"
73522,1101,PO-00025,331,Adelaide St W,Adelaide St W,South,Peter St,West,7307.0,10,Toronto Entertainment District,PPC,Existing,M2007307,0,313419.785,4834140.572,-79.393150124,43.647157699,"{u'type': u'Point', u'coordinates': (-79.3931501193, 43.6471577042)}"
73523,1102,PO-00822,2,Rowntree Rd,Rowntree Rd,North,Kipling Ave,East,13830.0,1,,PPC,Existing,M0113830,0,297988.438,4845709.93,-79.584581647,43.751315418000004,"{u'type': u'Point', u'coordinates': (-79.5845816443, 43.7513154216)}"
